title,company,experience,salary,location,description,skills,posted
Data Analyst,Virtusa,6-10 Yrs,,"Hyderabad, Chennai, Bengaluru",Overall 8+ years of experience with 5-6 years experience mining data as a data analystM...,"Pyspark, Healthcare, Data Analyst, Python, SQL, Data analysis, Data",2 days ago
Data Analyst,EY,4-8 Yrs,,"Hyderabad, Gurugram, Bengaluru",". Resourcing requirements . Resources to be assigned on T&M basis, fungible to work acr...","SAS, Credit Risk, SQL, Altair, GCP, Requirement Gathering, Data Analysis, Requirements",2 days ago
Data Analyst,Incanus Technologies,1-6 Yrs,5-15 Lacs PA,"Hybrid - Pune, Bengaluru, Delhi / NCR","Graduates from any discipline, unleash your potential!Note: We will be reaching out to ...","Python, SQL, Excel, Data analysis, Data",1 week ago
Data Analyst,Codinglimits Nellore,0-1 Yrs,,"Hyderabad, Chennai, Bengaluru",Data Analyst Fresher Location: Bengaluru | Chennai | Hyderabad Employment Type: Full-T...,"Power Bi, SQL, Python, Data Visualization, Tableau, Data Analytics, Data analysis, Analytics",2 weeks ago
Hiring For Data Analyst (Tableau),Lumina Datamatics,2-5 Yrs,5-9 Lacs PA,"Mumbai, Pune, Mumbai (All Areas)",Utilize SQL skills to extract data from various sources for analysis purposes. . Troubl...,"Tableau, Advance Sql, data analyst, Tableau Reporting, Data Visualization, Tableau Prep, tableau developer, SQL",1 week ago
Data Analyst,ti Steps,0-3 Yrs,3-5 Lacs PA,"Hyderabad, Chennai, Bengaluru","Experience working in Agile / Scrum environments. Experience with cloud platforms (AWS,...","Data Management, Data Visualization, Tableau, Data Analytics, Data Reporting, Power Bi, Data Analysis, Data Cleansing",2 weeks ago
Data Analyst,Clustor Computing,0-2 Yrs,,Nagpur,"Bachelor s / Master s degree in Data Science, Statistics, CS, or related fieldRequired ...","Analytical skills, Data analysis, Manager Quality Assurance, data science, power bi, Data analytics, data visualization, digital transformation",3+ weeks ago
Data Analyst,Anarock Property Consultants,2-3 Yrs,10-14 Lacs PA,Mumbai(Bandra Kurla Complex),"To do well in this role you need a very fine eye for detail, experience as a data analy...","Data Analytics, ETL, Power Bi, Data Analysis, Statistical Modeling, Machine Learning, Python, SQL",1 week ago
Data Analyst,Financial Service,5-10 Yrs,,Hybrid - Hyderabad,"Willingness to work flexible shifts, including UK and US time zonesRecommend process en...","O2C, SAP, Order To Cash, Data Analytics, CRM, Genesys, Data quality, siebel",1 week ago
Data Analyst,Financial Service,5-10 Yrs,,Hybrid - Ahmedabad,"Willingness to work flexible shifts, including UK and US time zonesRecommend process en...","O2C, SAP, Order To Cash, Data Analytics, CRM, Genesys, Data quality, siebel",1 week ago
Data Analyst,Financial Service,5-10 Yrs,,Hybrid - Chennai,"Willingness to work flexible shifts, including UK and US time zonesRecommend process en...","O2C, SAP, Order To Cash, Data Analytics, CRM, Genesys, Data quality, siebel",1 week ago
Data Analyst,TP,3-8 Yrs,,Gurugram,Specialized schooling or previous practical experience likely to be required.,"customer service, customer experience management, issue resolution, product specification, hrsd, software installation, specifications, job description",2 days ago
Data Analyst,Financial Service,5-10 Yrs,,Hybrid - Mumbai,"Willingness to work flexible shifts, including UK and US time zonesRecommend process en...","O2C, SAP, Order To Cash, Data Analytics, CRM, Genesys, Data quality, siebel",1 week ago
Data Analyst,Financial Service,5-10 Yrs,,Hybrid - Delhi / NCR,"Willingness to work flexible shifts, including UK and US time zonesRecommend process en...","O2C, SAP, Order To Cash, Data Analytics, CRM, Genesys, Data quality, siebel",1 week ago
Data Analyst 3,Zynga,5-10 Yrs,,Bengaluru,"Masters, MBA or PhD preferred. 5+ years of work experience in data science or analytics...","Computer science, data science, Diversity and Inclusion, Machine learning, QlikView, Gaming, Analytics, SQL",1 day ago
Data Analyst,Financial Service,5-10 Yrs,,Hybrid - Kolkata,"Willingness to work flexible shifts, including UK and US time zonesRecommend process en...","O2C, SAP, Order To Cash, Data Analytics, CRM, Genesys, Data quality, siebel",1 week ago
Data Analyst,iit Academy,3-5 Yrs,,Samastipur,Position: Manager. brief: IIT Academy is looking for experienced and energetic candidat...,"Analytical skills, Automation, Data analysis, Data validation, Technical writing, Data Analyst, Business process management, data visualization",1 week ago
ESG Data Analyst (off-Roll),Crisil Analytices,5-10 Yrs,,Pune,Role       : ESG Data Analyst              Position type:      Offroll (QuessCorp...,"NISM, Payroll, Usage, Excel, Finance, Corporate, Data Analyst, Advanced Excel",1 week ago
Data Scientist / Data Analyst,Mount Talent Consulting,3-20 Yrs,,Bengaluru,"Requirements: minimum 3 years of relevant experience, strong domain expertise and excel...","Python, R, Statistics, Machine Learning, SQL, Data analysis, Machine, Data",1 week ago
Data Analyst,Ecolab Global Services,6-8 Yrs,,Pune,The employee should demonstrate mastering of skills in at least two of the following da...,"Data Analyst, Data Systems, Data Analysis, Research, Etl, Elt, Data Governance, Sql",1 week ago
Data Analyst,Innova Solutions,7-12 Yrs,,"Hybrid - Hyderabad, Bengaluru, Greater Noida",Shift & Mode : 2pm to 11pm -(3 Days WFO). .,"Banking Analytics, Data Analytics, Python, SQL, Segmentation, Data Analysis, Analytics, Analysis",1 week ago
Data Analyst,Adastra Corp,4-8 Yrs,,Remote,"Bachelors degree in Computer Science, Information Systems, Statistics, Business Analyti...","SAP, Power Bi, SAP BI Objects, Sap Businessobjects, Data Analytics, SAP BW, Ci/Cd, Power Query",1 week ago
Data Analyst (English Required),Peroptyx,0-5 Yrs,,Remote,"For thousands of years, maps have provided humans with the knowledge they need to make ...","Data Analysis, English, Data Analytics, Data Mapping, Analytics, Analysis, Data, Mapping",2 weeks ago
Job | Data Analyst/Part Time Supports.,Platinus Technologies Pvt Ltd,8-13 Yrs,,Pune,We are inviting Dynamic IT Consultants who are interested to work as a Part time freela...,"visualization, Stakeholder, KPI, data anaysis, Data analysis, Data, Data Visualization, Part",3 days ago
"Analyst, Data Architecture",Colgate Palmolive,1-2 Yrs,,Mumbai,"Analyst, Data Architecture   Brief introduction - Role Summary/Purpose:     The candid...","tax analysis, orientation, tds, sap, business writing, litigation management, gst, auditing",1 day ago
Data Analyst,TP,0-1 Yrs,1-1.75 Lacs PA,Indore,Shift: Night ShiftWillingness to work in the night shiftRequirements: . Graduate or Und...,"Data Entry, Back Office Support, Backend Operations, Data analysis, Backend Process, Operations, Back office, Office",6 days ago
